V1	V2	V3	V4
0.0312	0.021	0.282507789	0.354204974
0.0249	0.0249	0.213161321	0.445006025
0.0332	0.0288	0.304806669	0.546716657
0.0331	0.0228	0.307317775	0.400790709
0.0351	0.0279	0.330709788	0.521021719
0.0287	0.0247	0.258470626	0.430927815
0.0326	0.0253	0.301070708	0.454717411
0.0279	0.0266	0.245056537	0.481041579
0.0369	0.0302	0.355839621	0.581572649
0.0258	0.0255	0.222046504	0.457751951
0.0378	0.0275	0.367648378	0.508389578
0.0269	0.0255	0.233684434	0.45757781
0.0235	0.0247	0.187740977	0.433318648
0.0342	0.0277	0.317658945	0.513619082
0.0308	0.0298	0.278409462	0.568209514
0.0328	0.0219	0.301799083	0.379060329
0.0229	0.027	0.173894696	0.487400372
0.0262	0.0223	0.228327224	0.393758182
0.028	0.0289	0.245282187	0.550941084
0.0215	0.0255	0.160173128	0.459376593
0.0296	0.0278	0.264460901	0.515754717
0.0301	0.0311	0.269855169	0.587814043
0.0329	0.0267	0.303618533	0.482014247
0.0323	0.0289	0.29359615	0.553049949
0.031	0.0284	0.280016493	0.536669396
0.0314	0.0264	0.286248953	0.478075703
0.0288	0.0255	0.258752672	0.458881334
0.0253	0.0221	0.215538523	0.383493523
0.0359	0.0238	0.343569666	0.414654491
0.0245	0.0288	0.205079555	0.545824539
0.0275	0.0289	0.238477805	0.547079611
0.0388	0.0245	0.38005631	0.427727903
0.0285	0.0279	0.252317296	0.525404164
0.0284	0.0233	0.250362547	0.407495403
0.0244	0.0229	0.204372876	0.401742107
0.0236	0.0276	0.19449867	0.506554715
0.028	0.0288	0.246394115	0.546407211
0.0317	0.0252	0.290215266	0.452440005
0.0362	0.0277	0.348333963	0.511499253
0.0247	0.0219	0.210136914	0.373842868
0.0369	0.0275	0.355648534	0.506090116
0.0324	0.0233	0.295927915	0.406357097
0.0241	0.0272	0.198293858	0.497563985
0.0353	0.0274	0.334189285	0.500042296
0.0351	0.0272	0.330552471	0.496440161
0.0344	0.0219	0.321862972	0.376658301
0.0349	0.0247	0.327977084	0.437973791
0.0354	0.0269	0.337746056	0.484408854
0.0311	0.0244	0.281978792	0.422194967
0.0236	0.0276	0.18924988	0.508811417
0.0312	0.0303	0.282938565	0.581053076
0.0226	0.025	0.171494265	0.446310846
0.0279	0.0232	0.245374935	0.404248489
